Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,rand-feature
0,2,1,41.0,0,0,0.0,2.0010915537317198
1,3,1,9.0,1,1,15.9,0.5902531540494715
0,3,1,22.0,0,0,7.75,2.400197102866354
0,2,1,47.0,0,0,15.0,1.085415623152572
0,1,1,61.0,0,0,33.5,0.8254350920701418
0,1,1,71.0,0,0,34.6542,2.628792912251956
0,2,1,39.0,0,0,15.05,0.3464783703847726
1,1,0,52.0,1,0,78.2667,0.771513262960307
0,3,1,30.0,0,0,8.05,1.957792425962774
1,3,0,16.0,0,0,7.8292,0.6545464473970194
1,1,0,42.0,0,0,227.525,0.0767356569557216
0,3,1,24.0,0,0,8.05,1.5080451877606884
0,2,1,51.0,0,0,12.525,0.6581924550216084
1,2,0,24.0,2,3,18.75,2.1990219070835044
0,3,1,20.0,0,0,8.05,2.3783521508878915
0,2,1,24.0,2,0,73.5,1.540618292965721
1,1,0,44.0,0,1,57.9792,2.0455940730488864
0,2,1,23.0,0,0,10.5,1.7605223814428863
0,3,0,32.0,0,0,8.05,1.4167052642573963
1,2,0,29.0,0,0,10.5,0.3851743932328462
0,3,1,24.0,0,0,7.7958,1.6770112286115229
0,3,1,22.0,0,0,8.05,0.41677772915573497
0,3,0,8.0,3,1,25.4667,2.432873491868758
0,3,1,28.0,1,0,19.9667,2.2340875987526507
0,3,1,20.0,0,0,7.8958,1.5036893865962693
0,3,1,19.0,0,0,14.5,0.7931215417111824
0,3,1,17.0,8,2,69.55,2.3851160865718453
1,2,0,29.0,1,0,26.0,1.4597093737103557
0,3,1,34.0,1,1,14.4,1.3731658857669768
0,3,0,17.0,0,0,14.4583,1.8388224680789649
0,3,1,28.0,0,0,7.8958,1.3735561504192657
1,3,0,0.75,2,1,19.2583,0.9244887697233142
0,3,1,38.0,0,0,7.05,0.3239594933708704
0,2,1,57.0,0,0,12.35,2.1170783216676115
0,1,1,37.0,0,0,42.4,1.6155756283115235
1,3,0,15.0,1,0,14.4542,0.7484250608859053
1,3,1,3.0,1,1,15.9,2.012047064430312
0,3,0,22.0,0,0,9.8375,1.7918779143591648
0,3,1,23.0,0,0,7.8958,2.9107369952538114
1,3,0,18.0,1,0,15.5,1.1946405729227352
1,1,0,62.0,0,0,80.0,0.49450965275205183
0,3,1,28.0,0,0,56.4958,0.21301253399305098
1,1,0,16.0,0,1,39.4,0.862717160226083
1,1,0,56.0,0,1,83.1583,1.19980441326826
0,3,0,21.0,1,0,9.825,2.4367211362931704
1,1,0,38.0,0,0,79.2,1.230519661932282
0,3,1,20.5,0,0,7.25,0.7187453366028413
1,1,1,47.0,0,0,30.5,1.2642335588149125
0,3,0,19.0,1,0,14.4542,1.5690264441367932
0,3,1,33.0,0,0,8.6542,0.8410060117674608
0,1,1,62.0,0,0,26.55,1.4937482858133735
0,2,1,30.0,1,0,24.0,2.8217740543644165
0,2,0,26.0,1,1,26.0,1.3183814497408133
1,3,0,2.0,1,1,22.3583,1.063689231441262
0,2,1,28.0,0,0,10.5,2.693235270065124
1,2,0,4.0,1,1,23.0,0.7161141882153044
0,1,1,24.0,0,1,247.5208,1.00533548406175
0,2,1,21.0,0,0,73.5,2.6027439140136455
0,3,0,9.0,2,2,34.375,2.171971443022902
0,2,1,46.0,0,0,26.0,1.526613571207005
1,1,0,30.0,0,0,86.5,2.325569077892883
0,1,1,71.0,0,0,49.5042,1.2423603743893137
1,1,0,36.0,1,2,120.0,1.4112480514155248
0,3,1,39.0,0,0,7.925,0.20684217511813108
0,2,1,23.0,0,0,13.0,1.8996386232128692
1,1,0,63.0,1,0,77.9583,1.7321798741267833
0,3,1,35.0,1,2,23.45,0.7592633358585757
1,2,1,1.0,2,1,39.0,1.4785901426677266
0,3,1,25.0,0,0,7.225,2.465981408571035
1,3,0,35.0,1,1,20.25,0.3930251891849652
0,3,1,45.5,0,0,7.225,2.3078559129914176
1,1,0,33.0,1,0,90.0,0.2526063150316997
0,3,1,18.0,0,0,7.775,0.938857292756772
0,3,1,47.0,0,0,7.25,1.7763113677781517
0,3,1,5.0,3,1,25.4667,2.0403526495806363
1,1,1,27.0,0,0,76.7292,0.2729372843504899
1,3,0,63.0,0,0,9.5875,2.789188670494689
1,3,1,29.0,0,0,8.1125,2.7316246712621948
0,3,1,32.0,0,0,7.8958,0.11450188938098438
0,1,1,50.0,1,0,106.425,2.171157095701366
1,3,1,24.0,0,0,7.1417,2.947312139531868
1,3,1,25.0,1,0,7.775,0.005654281649545623
1,2,0,25.0,0,1,26.0,1.3356573995392056
0,2,1,18.0,0,0,73.5,1.8806543228112234
0,3,0,23.0,0,0,7.925,2.7048952609857406
0,3,0,29.0,0,4,21.075,1.54903882664689
1,1,0,39.0,1,1,110.8833,2.1605909518563724
0,2,1,30.0,0,0,13.0,1.3979283913456175
1,3,0,28.0,0,0,7.7375,0.1642798417035728
0,1,1,45.0,0,0,26.55,2.432574743417621
0,2,1,18.0,0,0,11.5,2.59578891386483
0,3,1,23.0,0,0,7.8958,2.933404047236426
0,3,1,38.0,0,0,7.8958,2.717047872796949
0,2,1,29.0,1,0,27.7208,1.9187707323573644
1,3,0,16.0,0,0,7.75,1.2806020747815752
0,3,1,17.0,0,0,8.6625,0.2921304866402141
0,2,1,16.0,0,0,10.5,2.559107334792077
1,2,1,0.83,1,1,18.75,1.495522850496036
0,3,1,37.0,2,0,7.925,2.707547744744789
0,3,1,18.0,1,1,7.8542,1.6072048600904176
1,3,0,4.0,0,2,22.025,1.6234032941706191
0,1,1,21.0,0,1,77.2875,0.4948841215923597
0,2,1,54.0,1,0,26.0,2.0328320272093983
0,3,0,32.0,1,1,15.5,2.001704424105963
1,1,0,17.0,1,0,108.9,1.8607302190248802
1,1,1,48.0,1,0,76.7292,2.058613209709196
1,1,1,38.0,1,0,90.0,0.5792343732250874
0,3,0,31.0,1,0,18.0,1.3419804425848376
0,3,1,48.0,0,0,7.8542,1.8153312298711834
0,2,1,34.0,0,0,13.0,1.6946809698329748
0,3,1,7.0,4,1,39.6875,1.5190889420345193
1,2,1,3.0,1,1,18.75,1.7037311101144768
0,3,0,8.0,8,2,69.55,1.18172525198686
1,3,1,32.0,0,0,56.4958,0.8984839820777973
0,1,1,43.0,0,0,35.0,1.128067058955311
1,1,0,24.0,0,0,49.5042,2.728770787989856
1,1,0,30.0,0,0,56.9292,1.6040140605904165
0,3,1,30.0,0,0,7.8958,0.894083941885983
1,1,1,37.0,1,1,52.5542,2.5512690097165733
0,1,1,31.0,0,0,50.4958,1.3625288958902217
1,1,0,35.0,1,0,83.475,1.3388059439626367
0,1,1,30.0,0,0,0.0,0.5172840725605716
0,3,1,33.0,0,0,7.8958,0.5331202302293953
1,2,0,34.0,0,0,10.5,2.5984403304664125
0,2,1,42.0,0,0,13.0,0.6327643159172739
1,3,0,34.0,1,0,16.1,1.0930486599732816
0,3,0,3.0,3,1,25.4667,2.2173624297236456
0,3,1,22.0,0,0,7.2292,2.0439188682141154
0,3,1,33.0,0,0,7.775,0.8093371090108433
0,3,1,49.0,0,0,0.0,2.5512405656399157
1,3,0,22.0,0,0,7.775,2.6646314716414414
0,3,1,18.0,0,0,7.25,1.8299485921628547
1,1,1,36.0,0,0,26.2875,0.4315181209472315
1,3,0,26.0,0,0,7.8542,2.704589049560121
1,3,0,33.0,1,0,16.1,0.23790101010979492
1,1,1,50.0,2,0,133.65,0.5731473074167415
1,2,0,36.0,0,0,13.0,2.0265317038604564
1,1,1,36.0,1,2,120.0,2.7503533869331367
0,3,1,29.0,1,0,7.0458,2.0817729659675126
0,2,1,36.0,0,0,13.0,1.7952547512510684
0,3,1,21.0,0,0,7.775,1.5054527130093445
0,3,1,26.0,1,0,14.4542,2.209865004961477
0,2,1,39.0,0,0,26.0,0.9674266677521546
1,3,0,26.0,1,0,15.5,1.5850412327311956
1,2,1,62.0,0,0,10.5,2.899489648228141
1,1,1,36.0,0,1,512.3292,2.2867309561701568
1,3,0,14.0,1,0,11.2417,0.6261211965099093
0,3,0,40.0,1,0,9.475,0.12877730352720063
0,3,1,26.0,0,0,8.05,1.2061557737196575
0,3,1,10.0,3,2,27.9,0.9382542661782532
0,3,0,30.5,0,0,7.75,1.8143171101649505
0,3,1,23.0,0,0,7.8958,2.7453827861995848
0,1,1,28.0,0,0,47.1,1.0885894686646023
0,3,1,32.0,0,0,7.925,0.30587389508443974
0,3,1,21.0,0,0,7.8,0.8836192318583435
0,3,1,30.0,0,0,7.225,2.8876148887365884
1,1,0,40.0,0,0,153.4625,2.973246764802269
0,1,1,40.0,0,0,52.0,0.9763279789946938
0,2,1,34.0,0,0,13.0,2.0524536147489445
0,3,0,43.0,1,6,46.9,0.47416038322016907
1,1,1,28.0,0,0,35.5,1.401974386151334
1,2,0,18.0,0,1,23.0,2.806756670861316
0,3,1,30.0,0,0,7.2292,1.9337820810632276
0,3,1,19.0,0,0,8.1583,1.1303756043806379
0,3,0,28.0,0,0,7.8958,1.6335543949040354
1,2,0,22.0,1,1,29.0,1.6776889227428669
1,3,0,22.0,0,0,7.75,0.9167995297142323
0,2,1,27.0,0,0,13.0,1.7930766744585012
0,3,0,28.0,1,1,14.4,1.1503373058951567
1,3,0,24.0,0,3,19.2583,2.100668845177245
0,3,1,19.0,0,0,8.05,1.6945111533280097
1,2,0,40.0,1,1,39.0,0.6312550405855484
1,1,0,18.0,2,2,262.375,0.6228848089083494
1,3,0,30.0,0,0,12.475,0.622598361194973
1,1,0,35.0,1,0,52.0,2.308489422569956
0,3,1,25.0,0,0,7.05,0.8616803760518769
1,1,1,37.0,0,0,26.55,0.5564084053984046
1,3,1,26.0,0,0,18.7875,1.3468721684533773
0,3,1,16.0,2,0,18.0,1.672151337012626
0,3,1,42.0,0,1,8.4042,2.8230994092356143
0,3,1,30.0,0,0,7.8958,0.1311611219636506
1,1,1,56.0,0,0,35.5,0.16166926310859375
0,3,1,20.0,0,0,7.75,2.2265239643321726
0,3,1,39.0,0,0,7.25,0.37955174383608004
0,1,1,37.0,0,1,29.7,2.518202075128067
1,3,0,33.0,0,0,7.75,0.8158795882117738
0,3,1,34.0,0,0,8.05,0.5343822080579571
0,2,0,24.0,0,0,13.0,2.949063231470274
0,1,0,2.0,1,2,151.55,2.54945309573139
1,2,0,34.0,1,1,32.5,1.3293405771232243
0,3,0,40.0,0,2,15.2458,0.6376187783806838
0,1,1,52.0,1,1,79.65,0.28493306977712196
0,3,1,23.0,0,0,56.4958,0.39420901266857866
0,3,1,36.0,1,1,24.15,2.9132923535653603
0,3,1,35.0,0,0,7.125,2.9142231809437926
1,1,0,60.0,1,0,75.25,0.48474942645235186
1,3,0,18.0,0,1,9.35,2.458118730978639
0,3,1,18.0,0,0,7.7958,2.4107421841566015
0,3,1,34.0,0,0,6.4958,0.901055825762638
0,1,1,65.0,0,0,26.55,2.518669144408568
0,3,1,25.0,1,0,7.775,1.4216962163631224
0,3,1,2.0,3,1,21.075,2.8400484039008242
0,2,1,36.0,1,2,27.75,1.6092428980074076
1,3,1,22.0,0,0,7.225,0.9495341632381931
0,2,1,34.0,1,0,21.0,0.6612648769292846
1,3,1,29.0,0,0,7.75,0.3578046710971686
1,2,0,31.0,1,1,26.25,1.5106438971321814
0,1,1,37.0,1,0,53.1,0.3815780245413961
0,3,0,47.0,1,0,14.5,0.7597655760983084
0,1,1,49.0,1,1,110.8833,1.8122726770348248
0,3,1,51.0,0,0,7.0542,1.6749947193949268
0,3,1,39.0,1,5,31.275,2.647627598754508
0,3,1,27.0,1,0,15.5,0.02122362084472984
0,2,1,37.0,1,0,26.0,0.9018326540433962
1,3,0,21.0,0,0,7.75,0.05146825082045292
1,1,1,42.0,0,0,26.2875,1.6215156251414955
0,3,1,21.0,0,0,7.25,0.0993531947378643
0,2,1,34.0,1,0,21.0,2.293321222600483
0,2,1,23.0,0,0,15.0458,1.9278130307955705
0,3,1,16.0,1,1,20.25,1.3388189422031225
0,3,0,18.0,0,0,7.775,0.35323435975293194
0,3,1,17.0,1,1,7.2292,1.459752043732463
0,3,1,20.0,0,0,8.05,2.0745383252778065
0,1,1,42.0,1,0,52.0,2.343450941753533
0,1,1,43.0,0,0,30.6958,1.0397191104268102
0,2,1,52.0,0,0,13.5,0.012192665380706735
1,3,1,6.0,0,1,12.475,0.22683370117368307
1,3,1,39.0,0,0,7.925,2.238916093594491
1,1,1,80.0,0,0,30.0,1.8629248006566965
0,3,1,20.0,0,0,4.0125,0.8049661252438348
1,1,1,49.0,1,0,56.9292,1.8929073052524077
0,3,1,66.0,0,0,8.05,1.4066159385245967
0,2,1,32.0,2,0,73.5,1.2431138414510217
1,1,0,17.0,1,0,57.0,1.4545953095768618
1,2,1,8.0,1,1,36.75,0.5124708758242045
0,1,1,30.0,0,0,27.75,0.9825679857435172
0,3,1,35.0,0,0,7.8958,0.9990764751256227
0,3,0,21.0,0,0,7.75,0.10730255203531558
1,3,1,31.0,0,0,7.925,1.4188288992981102
0,3,1,22.0,0,0,7.5208,1.6193196614962284
0,3,0,18.0,1,0,17.8,1.5062667072412055
0,3,1,28.0,0,0,8.05,1.360885988381221
0,3,1,18.0,1,1,20.2125,2.4468160617311936
1,1,1,35.0,0,0,26.55,0.9789369322762094
0,3,1,14.0,5,2,46.9,2.652592190272641
0,1,1,57.0,0,0,26.0,2.724709761680721
0,3,0,9.0,4,2,31.275,1.1961245063593773
1,3,0,18.0,0,0,9.8417,1.3284952267745211
0,2,1,70.0,0,0,10.5,2.6005711479975213
0,3,0,21.0,8,2,69.55,0.4424183373991537
1,3,1,24.0,2,0,23.25,0.507229814364948
0,3,1,21.0,0,0,8.05,0.3938091563420808
0,3,1,32.0,0,0,8.3625,0.6547540646578508
0,3,1,21.0,0,0,8.4333,1.4575066514235204
0,1,1,46.0,0,0,79.2,2.1300067178567574
0,3,1,26.0,0,0,7.8958,1.2526068494888754
0,1,1,33.0,0,0,5.0,2.214917484656701
0,3,1,25.0,0,0,7.7417,1.6433907038076487
1,1,1,40.0,0,0,31.0,2.4018512460186696
1,1,0,14.0,1,2,120.0,1.5373963446996157
0,3,0,10.0,0,2,24.15,1.707048621945939
1,2,0,17.0,0,0,12.0,2.2229002632032184
1,2,0,40.0,0,0,15.75,1.3384121887478855
0,3,1,28.0,0,0,7.8542,2.894183763011216
0,3,1,24.0,0,0,9.5,2.1436864092453733
1,1,0,58.0,0,0,146.5208,0.5748367989409224
0,3,0,48.0,1,3,34.375,2.997525949101181
0,3,1,65.0,0,0,7.75,1.176533334495696
0,3,1,19.0,0,0,7.8958,1.9299402746863938
0,3,1,41.0,2,0,14.1083,2.3704976104293918
0,3,1,9.0,4,2,31.3875,1.0824087385657735
0,3,1,2.0,4,1,39.6875,2.5599969744168085
0,3,1,25.0,1,0,17.8,1.8322697547188809
0,1,1,51.0,0,1,61.3792,2.7181262709873137
0,3,0,7.0,1,2,23.45,0.38340214466127365
0,3,1,16.0,0,0,8.05,2.358825701459249
0,2,1,26.0,0,0,10.5,2.3617546452604223
1,3,1,44.0,0,0,7.925,2.4257674828726916
1,1,0,22.0,0,1,55.0,0.558686140552674
0,3,1,42.0,0,0,8.6625,1.115603135184038
1,2,0,32.5,0,0,13.0,2.1050752244160558
0,3,1,28.0,0,0,7.75,0.17917840887911107
0,2,1,18.0,0,0,13.0,2.941502811594513
0,3,1,34.0,0,0,8.05,2.3304630859191002
1,1,0,35.0,1,0,53.1,1.863308989046057
0,3,1,30.0,0,0,7.75,2.268831033645443
0,3,1,33.0,0,0,9.5,0.0024464145824378836
1,3,0,5.0,4,2,31.3875,0.4359822857392953
0,3,1,8.0,4,1,29.125,0.15617460333036481
1,3,0,22.0,0,0,7.75,2.5027287309594426
1,1,0,39.0,1,1,83.1583,2.8754104746244606
0,2,1,27.0,0,0,26.0,0.6855362361759882
1,2,0,41.0,0,1,19.5,1.7252099728302215
0,3,1,20.0,0,0,9.8458,2.469137285656494
1,3,1,27.0,0,0,8.6625,1.1026443131671595
1,3,0,5.0,2,1,19.2583,0.25918180253197964
1,3,1,45.0,0,0,8.05,1.1950975214318613
0,3,1,33.0,0,0,8.6625,2.9745883369993997
0,3,1,25.0,0,0,7.25,1.5641342311029438
1,3,0,27.0,0,2,11.1333,2.3067885430923787
0,3,0,41.0,0,5,39.6875,2.646205508373911
0,1,1,64.0,0,0,27.7208,0.4506406728096879
1,2,0,36.0,1,0,26.0,1.1716582604990808
0,3,1,40.0,0,0,8.05,2.9347252557135954
0,3,1,22.0,0,0,7.8958,0.13554974842726575
0,3,1,32.0,1,0,15.85,2.2967426776705544
1,1,0,54.0,1,0,78.2667,1.55968201430103
1,1,1,34.0,0,0,26.55,0.2566503905630336
1,3,1,4.0,1,1,11.1333,1.434695565691448
0,1,1,28.0,0,0,31.0,0.02056376424327988
0,1,1,47.0,0,0,25.5875,1.0092436973995444
0,3,1,30.0,0,0,8.05,1.7836917106299794
0,3,1,40.5,0,2,14.5,1.5993068333577969
0,3,1,21.0,0,0,16.1,0.2335694093479861
0,1,0,25.0,1,2,151.55,2.5131986926024146
1,2,1,34.0,0,0,13.0,0.4644083558337784
0,2,1,19.0,0,0,10.5,0.43843971662221837
0,3,0,39.0,1,5,31.275,1.5980618842494774
1,2,0,46.0,0,0,12.35,0.634045927254767
1,2,0,35.0,0,0,21.0,0.2787547395863803
0,3,0,2.0,0,1,10.4625,1.820360706616152
0,3,1,74.0,0,0,7.775,2.2101696873020376
0,2,1,54.0,0,0,26.0,0.5801083367105133
0,3,1,20.0,0,0,8.6625,2.578053079519052
1,2,0,23.0,0,0,13.7917,2.7774168175082363
0,3,0,12.0,3,1,25.4667,1.2441656325269594
1,3,0,15.0,0,0,7.225,0.4319078845254223
1,2,0,17.0,0,0,10.5,1.7146982918067817
0,2,1,30.0,0,0,10.5,0.12871455727441372
0,3,1,69.0,0,0,14.5,0.8356097197536115
0,3,1,25.0,0,0,7.8958,2.0173833271193544
0,3,1,19.0,0,0,10.1708,1.606035423986563
0,3,0,18.0,1,0,14.4583,1.54682377978527
0,3,1,55.0,0,0,15.1,2.1401688944546575
0,3,1,23.0,0,0,7.8542,1.1799155992483148
0,2,1,21.0,0,0,0.0,1.3535417706145698
0,3,1,22.0,0,0,7.25,0.4575041935651947
1,2,0,54.0,1,3,23.0,2.324951640208402
0,3,1,20.0,8,2,69.55,0.5985626689544485
0,3,1,22.0,0,0,7.8958,2.644991804207192
0,3,1,16.0,0,0,9.2167,0.8467440700905196
0,3,1,28.0,0,0,7.8958,1.4390240838670814
0,3,1,28.0,1,0,24.15,2.792576376214474
1,1,0,41.0,0,0,134.5,0.8490490151176597
0,3,1,40.0,0,0,7.225,0.9725921314558669
0,1,1,22.0,0,0,135.6333,2.6757413894233792
0,2,1,27.0,0,0,13.0,2.7975418788846884
1,2,0,27.0,0,0,10.5,0.3686137313449671
0,3,1,26.0,1,0,7.8542,1.2176494389837944
0,2,1,21.0,2,0,73.5,0.46818415594256735
0,3,1,25.0,0,0,7.65,1.558943407315855
1,2,0,7.0,0,2,26.25,0.666199044975677
0,1,1,19.0,3,2,263.0,1.2072671120636498
0,2,0,57.0,0,0,10.5,1.1575574458785611
0,3,0,41.0,0,2,20.2125,1.1600590083620599
0,3,1,43.0,0,0,8.05,1.3694192296585699
0,3,0,20.0,1,0,9.825,0.5825258084417165
0,1,1,36.0,0,0,40.125,1.4647070329425649
1,1,0,51.0,1,0,77.9583,1.2833537731766507
1,2,1,42.0,0,0,13.0,1.3297702753056675
0,1,1,40.0,0,0,0.0,2.9858094449358816
1,2,0,22.0,1,2,41.5792,0.7039998598444739
0,3,0,28.0,0,0,8.1375,1.9970329543170044
1,3,0,1.0,0,2,15.7417,1.9809461249999232
0,3,0,20.0,0,0,8.6625,1.467133385894424
0,2,1,31.0,1,1,26.25,1.2986387931862742
0,3,1,22.0,0,0,7.7375,0.49352918555174363
0,3,1,49.0,0,0,7.775,2.157752253810547
0,3,1,22.0,1,0,7.75,2.322929166876236
0,3,1,16.0,0,0,8.7125,0.8731864283504862
0,2,1,32.0,0,0,10.5,0.33797577237978205
0,3,1,35.0,0,0,7.225,2.7895539135107335
0,3,1,42.0,0,0,7.8958,0.788315147525593
0,3,0,31.0,0,0,7.8542,0.6301772258700337
1,3,1,20.0,1,0,7.925,1.7759247771937914
1,3,0,2.0,0,1,12.2875,0.0985957254846378
0,3,0,3.0,3,1,21.075,2.5896671371549176
0,1,1,56.0,0,0,30.6958,0.8178041955769261
0,2,1,25.0,0,0,13.0,0.8162151072319461
1,1,1,25.0,1,0,91.0792,0.9899473369406092
1,1,0,48.0,0,0,25.9292,0.47586397115190526
1,3,1,29.0,0,0,7.775,0.1453270982932816
1,1,1,35.0,0,0,26.2875,0.6200310898272003
1,1,1,28.0,0,0,26.55,1.8199803027971262
1,3,0,23.0,0,0,7.55,2.7874105829995592
1,1,0,58.0,0,0,26.55,0.697595203807058
0,3,1,26.0,0,0,7.775,1.1192829019007373
0,2,1,42.0,1,0,27.0,1.0483260279013384
1,2,0,30.0,0,0,13.0,2.558722260823854
0,2,1,30.0,0,0,13.0,1.26938521940292
0,3,0,37.0,0,0,9.5875,2.905870514408318
1,3,0,24.0,0,0,7.8792,0.33066754370675555
0,3,0,11.0,4,2,31.275,1.643616793687959
1,1,0,41.0,1,0,51.8625,2.5359275322866144
1,2,0,34.0,0,1,23.0,0.6524569001911875
1,1,0,18.0,0,2,79.65,1.6591515395031813
1,1,0,30.0,0,0,93.5,0.2676335620152588
1,3,0,35.0,0,0,7.2292,0.6084440326105214
1,1,1,48.0,0,0,26.55,1.818523096403558
0,3,1,42.0,0,0,7.8958,1.4256694630975315
1,3,1,26.0,0,0,56.4958,2.070077303586202
1,1,1,45.0,0,0,30.0,2.36651134676507
1,1,0,39.0,1,0,55.9,0.7682543803186918
1,1,1,17.0,0,2,110.8833,2.9643454421143756
0,3,0,22.0,0,0,10.5167,0.6062567079278564
0,3,1,20.0,0,0,9.225,2.63531163915391
0,2,1,19.0,0,0,0.0,0.4868100561867873
1,3,0,22.0,0,0,7.75,0.8046470088334948
0,3,1,28.0,1,0,15.85,2.608279765018513
1,1,0,32.0,0,0,76.2917,2.128138946069001
0,3,1,51.0,0,0,7.75,2.5981841906808794
1,1,0,40.0,1,1,134.5,1.774938652302109
0,2,1,60.0,1,1,39.0,0.2601013639567189
0,3,1,27.0,1,0,14.4542,0.33426485146071305
1,2,0,25.0,1,1,30.0,1.1627345772432727
0,1,1,31.0,1,0,52.0,1.1516775439956877
0,1,1,54.0,0,1,77.2875,0.9471782361799888
0,1,1,62.0,0,0,26.55,0.9089578849336881
0,3,1,20.0,0,0,8.05,1.3785097391223031
0,3,1,23.5,0,0,7.2292,2.751518022067595
0,3,1,24.0,0,0,8.05,2.8729049984594077
1,1,0,44.0,0,0,27.7208,0.7399272514496184
0,2,0,44.0,1,0,26.0,1.5126528128436256
0,3,1,27.0,0,0,8.4583,0.43602380469436963
1,2,0,34.0,0,0,13.0,0.14594349048043986
1,2,0,19.0,0,0,26.0,0.5348877383535645
1,2,0,8.0,0,2,26.25,2.887412786184827
0,3,1,18.0,0,0,7.2292,0.23567959613819622
0,3,1,19.0,0,0,6.75,1.3580587832416704
1,2,0,3.0,1,2,41.5792,1.7755482738342852
1,3,0,24.0,0,2,16.7,0.9026264690736501
1,1,0,29.0,0,0,211.3375,2.5329347591470457
0,3,1,44.0,0,0,8.05,0.901465173652285
1,1,0,53.0,2,0,51.4792,2.5077425736797445
1,3,0,19.0,1,0,7.8542,2.8010658138043523
0,3,1,40.0,1,4,27.9,2.739097290880898
0,3,1,28.0,0,0,9.5,0.08111855166034898
0,3,1,28.0,2,0,7.925,1.7190171678112385
0,3,0,18.0,0,1,14.4542,0.7429740102039385
0,3,1,31.0,0,0,7.75,2.512671947569306
1,1,0,52.0,1,1,93.5,2.1645064122325763
1,1,1,0.92,1,2,151.55,2.191007064661307
1,3,0,36.0,1,0,17.4,0.4338308854288886
0,3,1,42.0,0,0,7.55,2.2686585187246022
0,3,1,24.0,0,0,7.8958,0.5595688739928956
0,3,1,23.0,0,0,7.8958,2.060453560735929
1,1,0,31.0,0,2,164.8667,0.7734372760357175
1,2,0,28.0,1,0,26.0,1.0798083613135065
1,3,1,21.0,0,0,7.7958,2.049695220171081
0,1,1,70.0,1,1,71.0,1.228170834835073
1,2,0,18.0,0,2,13.0,1.2060106507235848
0,2,1,29.0,0,0,10.5,0.15643770825926784
1,2,0,30.0,0,0,12.35,2.3869828283454635
1,2,0,28.0,0,0,13.0,0.12117470710837952
1,1,0,33.0,1,0,53.1,1.031629919685022
1,2,0,13.0,0,1,19.5,2.863837978791434
